country_code;country_name;region;sub_region;intermediate_region
ABW;Aruba;Americas;Latin America and the Caribbean;Caribbean
ABW;Aruba (Netherlands);Americas;Latin America and the Caribbean;Caribbean
AFG;Afghanistan;Asia;Southern Asia;
AFG;Johnston Atoll (US);Asia;Southern Asia;
AGO;Angola;Africa;Sub-Saharan Africa;Middle Africa
AIA;Anguilla (UK);Americas;Latin America and the Caribbean;Caribbean
ALA;Bechuanaland;Europe;Northern Europe;
ALA;Cook Islands (New Zealand);Europe;Northern Europe;
ALA;Howland Island (US);Europe;Northern Europe;
ALA;Niue (New Zealand);Europe;Northern Europe;
ALA;Nyasaland;Europe;Northern Europe;
ALA;Tokelau (New Zealand);Europe;Northern Europe;
ALB;Albania;Europe;Southern Europe;
AND;Andorra;Europe;Southern Europe;
ARE;United Arab Emirates;Asia;Western Asia;
ARG;Argentina;Americas;Latin America and the Caribbean;South America
ARM;Armenia;Asia;Western Asia;
ASM;American Samoa;Oceania;Polynesia;
ASM;American Samoa (US);Oceania;Polynesia;
ATA;Antarctica;;;
ATA;International;;;
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Caribbean
AUS;Australia;Oceania;Australia and New Zealand;
AUS;Christmas Island (Australia);Oceania;Australia and New Zealand;
AUS;Cocos (Keeling) Islands (Australia);Oceania;Australia and New Zealand;
AUS;Heard Island & McDonald Islands (Australia);Oceania;Australia and New Zealand;
AUS;Norfolk Island (Australia);Oceania;Australia and New Zealand;
AUT;Austria;Europe;Western Europe;
AZE;Azerbaijan;Asia;Western Asia;
BDI;Burundi;Africa;Sub-Saharan Africa;Eastern Africa
BEL;Belgium;Europe;Western Europe;
BEN;Benin;Africa;Sub-Saharan Africa;Western Africa
BEN;Dahomey;Africa;Sub-Saharan Africa;Western Africa
BFA;Burkina Faso;Africa;Sub-Saharan Africa;Western Africa
BFA;Upper Volta;Africa;Sub-Saharan Africa;Western Africa
BGD;Bangladesh;Asia;Southern Asia;
BGR;Bulgaria;Europe;Eastern Europe;
SRB;Yugoslavia;Europe;Eastern Europe;
BHR;Bahrain;Asia;Western Asia;
BHS;Bahamas;Americas;Latin America and the Caribbean;Caribbean
BHS;Bahamas, The;Americas;Latin America and the Caribbean;Caribbean
BHS;The Bahamas;Americas;Latin America and the Caribbean;Caribbean
BIH;Bosnia;Europe;Southern Europe;
